"","ID","survey","subam","subam_type","isolation","treatments","Anax","Berosus","Bidessonotus","Buenoa","Caenis","Callibaetis","Ceratopogonidae","Chaoborus","Chironominae","Copelatus","Culex","Curicta","Derovatellus","Elachistocleis.sp.","Erythrodiplax","Heterelmis","Hydrocanthus","Hypodessus","Laccophilus","Limnocoris","Liodessus","Microvelia","Notonecta","Orthemis","Oxyagrion","Pantala","Pelocoris","Physalaemos.nattereri","Progomphus","Rhantus","Scinax.sp.","Sigara","Tanypodinae","Thermonectus","Tholymis","Tropisternus"
"A141","A14","2","2","center","30","pasture",0,3,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
"A151","A15","2","2","center","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B011","B01","2","2","center","120","control",0,4,0,0,0,0,1,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0
"B021","B02","2","2","center","120","pasture",0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,8,0,0,0,0,0
"B031","B03","2","2","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"B041","B04","2","2","center","120","control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
"B051","B05","2","2","center","120","pasture",0,0,0,0,1,1,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0
"B061","B06","2","2","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0
"B071","B07","2","2","center","120","control",0,0,0,0,0,1,0,1,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
"B081","B08","2","2","center","120","pasture",0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0,2,0,0,0
"B091","B09","2","2","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B101","B10","2","2","center","120","control",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B111","B11","2","2","center","120","pasture",0,9,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"B121","B12","2","2","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B131","B13","2","2","center","120","control",0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,1,0,0,0
"B141","B14","2","2","center","120","pasture",0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"B151","B15","2","2","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C011","C01","2","2","center","480","control",0,6,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,2,0,0,0,0
"C021","C02","2","2","center","480","pasture",0,1,0,0,1,0,1,1,39,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,4,0,2,4,0,0,0,0,0
"C031","C03","2","2","center","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"C041","C04","2","2","center","480","control",0,1,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,0,0
